episode,reward,total_wait,epsilon
1,-3677.75,3730.75,0.9801
2,-2097.25,2132.25,0.9703
3,-3184.25,3230.25,0.9606
4,-11536.1,11566.1,0.951
5,-1395.25,1396.25,0.9415
6,-1454.0,1478.0,0.9321
7,-1332.75,1381.75,0.9227
8,-2934.5,2966.5,0.9135
9,-13959.1,13948.1,0.9044
10,-8143.25,8170.25,0.8953
11,-8155.75,8196.75,0.8864
12,-18120.8,18069.8,0.8775
13,-5501.25,5541.25,0.8687
14,-17416.15,17358.15,0.8601
15,-1962.75,2006.75,0.8515
16,-9783.25,9849.25,0.8429
17,-4029.15,4027.15,0.8345
18,-6467.5,6553.5,0.8262
19,-2609.75,2650.75,0.8179
20,-11978.1,11977.1,0.8097
21,-18001.05,17960.05,0.8016
22,-1222.0,1230.0,0.7936
23,-5978.0,6026.0,0.7857
24,-5006.8,4975.8,0.7778
25,-9934.25,9986.25,0.77
26,-6235.3,6272.3,0.7623
27,-9158.75,9208.75,0.7547
28,-713.0,733.0,0.7472
29,-14726.65,14650.65,0.7397
30,-3256.8,3258.8,0.7323
31,-7403.25,7436.25,0.725
32,-2479.0,2501.0,0.7177
33,-3790.0,3847.0,0.7106
34,-1126.25,1123.25,0.7034
35,-6026.05,5995.05,0.6964
36,-12332.7,12350.7,0.6894
37,-1110.0,1102.0,0.6826
38,-3984.45,4004.45,0.6757
39,-3636.0,3679.0,0.669
40,-9922.0,9969.0,0.6623
41,-1944.5,1976.5,0.6557
42,-3271.0,3329.0,0.6491
43,-4024.5,4040.5,0.6426
44,-15513.1,15381.1,0.6362
45,-11964.75,11990.75,0.6298
46,-6734.25,6800.25,0.6235
47,-1164.75,1177.75,0.6173
48,-773.75,781.75,0.6111
49,-18021.9,17842.9,0.605
50,-1530.0,1586.0,0.599
51,-2633.0,2671.0,0.593
52,-5394.25,5485.25,0.587
53,-2818.5,2838.5,0.5812
54,-5617.5,5678.5,0.5754
55,-4323.0,4360.0,0.5696
56,-754.25,783.25,0.5639
57,-10197.65,10066.65,0.5583
58,-21568.85,21388.85,0.5527
59,-2646.0,2675.0,0.5472
60,-20302.6,20217.6,0.5417
61,-2253.5,2290.5,0.5363
62,-3112.35,3033.35,0.5309
63,-1051.0,1083.0,0.5256
64,-9376.25,9429.25,0.5203
65,-9373.25,9417.25,0.5151
66,-10731.5,10858.5,0.51
67,-4177.3,4143.3,0.5049
68,-5057.7,4988.7,0.4998
69,-10024.25,10126.25,0.4948
70,-1813.5,1873.5,0.4899
71,-3301.25,3347.25,0.485
72,-4730.4,4725.4,0.4801
73,-2681.75,2716.75,0.4753
74,-9549.75,9649.75,0.4706
75,-8370.25,8422.25,0.4659
76,-2513.95,2486.95,0.4612
77,-5565.75,5563.75,0.4566
78,-1500.0,1463.0,0.452
79,-1736.0,1740.0,0.4475
80,-8317.4,8284.4,0.443
81,-7046.5,7136.5,0.4386
82,-11276.4,11212.4,0.4342
83,-9199.0,9292.0,0.4299
84,-9603.25,9724.25,0.4256
85,-16405.8,16213.8,0.4213
86,-2964.75,3020.75,0.4171
87,-7217.0,7261.0,0.4129
88,-5184.75,5256.75,0.4088
89,-8054.0,8087.0,0.4047
90,-2303.25,2366.25,0.4007
91,-1827.4,1820.4,0.3967
92,-1763.0,1778.0,0.3927
93,-3845.45,3825.45,0.3888
94,-5007.0,5104.0,0.3849
95,-16394.85,16287.85,0.381
96,-3705.95,3738.95,0.3772
97,-3211.25,3191.25,0.3735
98,-15579.65,15543.65,0.3697
99,-2703.75,2716.75,0.366
100,-13734.6,13651.6,0.3624
101,-6106.0,6184.0,0.3587
102,-6443.75,6506.75,0.3552
103,-2790.0,2795.0,0.3516
104,-1404.0,1419.0,0.3481
105,-1806.0,1858.0,0.3446
106,-9426.75,9559.75,0.3412
107,-8496.75,8576.75,0.3378
108,-5167.95,5227.95,0.3344
109,-5330.5,5408.5,0.331
110,-690.0,709.0,0.3277
111,-2493.75,2524.75,0.3244
112,-11537.7,11527.7,0.3212
113,-3371.75,3431.75,0.318
114,-7853.0,7924.0,0.3148
115,-10324.75,10389.75,0.3117
116,-8538.0,8613.0,0.3085
117,-3379.5,3427.5,0.3055
118,-7912.75,7977.75,0.3024
119,-4059.5,4124.5,0.2994
120,-5054.55,5059.55,0.2964
121,-3638.85,3618.85,0.2934
122,-3472.5,3508.5,0.2905
123,-7398.55,7401.55,0.2876
124,-6939.25,7039.25,0.2847
125,-6651.25,6709.25,0.2819
126,-716.75,728.75,0.279
127,-2773.5,2814.5,0.2763
128,-1861.5,1915.5,0.2735
129,-2404.75,2447.75,0.2708
130,-6698.75,6777.75,0.268
131,-6243.5,6280.5,0.2654
132,-9880.6,9817.6,0.2627
133,-4823.0,4879.0,0.2601
134,-19776.55,19653.55,0.2575
135,-16879.45,16820.45,0.2549
136,-6825.3,6862.3,0.2524
137,-4461.75,4516.75,0.2498
138,-12841.0,12837.0,0.2473
139,-1910.25,1929.25,0.2449
140,-18609.6,18449.6,0.2424
141,-6569.05,6548.05,0.24
142,-14154.4,14128.4,0.2376
143,-2306.25,2359.25,0.2352
144,-8920.5,8973.5,0.2329
145,-7446.0,7584.0,0.2305
146,-673.75,720.75,0.2282
147,-3743.85,3720.85,0.2259
148,-11597.8,11475.8,0.2237
149,-15259.9,15257.9,0.2215
150,-4574.25,4577.25,0.2192
151,-6489.25,6578.25,0.217
152,-8201.5,8288.5,0.2149
153,-1671.75,1709.75,0.2127
154,-4858.75,4881.75,0.2106
155,-8289.0,8272.0,0.2085
156,-2073.75,2110.75,0.2064
157,-7200.0,7301.0,0.2043
158,-3102.8,3084.8,0.2023
159,-1836.2,1832.2,0.2003
160,-735.0,753.0,0.1983
161,-15143.45,15155.45,0.1963
162,-1709.0,1721.0,0.1943
163,-16840.9,16817.9,0.1924
164,-8920.6,8875.6,0.1905
165,-1380.25,1383.25,0.1886
166,-4367.0,4338.0,0.1867
167,-8886.75,8955.75,0.1848
168,-12395.25,12387.25,0.183
169,-22099.4,21892.4,0.1811
170,-1195.4,1164.4,0.1793
171,-8279.0,8325.0,0.1775
172,-2412.5,2453.5,0.1757
173,-4360.25,4398.25,0.174
174,-8406.25,8465.25,0.1722
175,-1938.75,1966.75,0.1705
176,-8466.0,8550.0,0.1688
177,-5174.75,5241.75,0.1671
178,-7078.2,7031.2,0.1655
179,-7047.25,7103.25,0.1638
180,-1921.75,1926.75,0.1622
181,-15921.2,15868.2,0.1605
182,-1132.25,1156.25,0.1589
183,-1959.45,1868.45,0.1574
184,-11741.45,11730.45,0.1558
185,-6656.0,6728.0,0.1542
186,-5741.75,5645.75,0.1527
187,-3146.5,3163.5,0.1512
188,-1885.0,1816.0,0.1496
189,-658.0,688.0,0.1481
190,-3949.65,3937.65,0.1467
191,-3225.75,3255.75,0.1452
192,-7209.35,7196.35,0.1437
193,-14193.6,14133.6,0.1423
194,-2328.45,2280.45,0.1409
195,-15386.1,15313.1,0.1395
196,-1072.25,1114.25,0.1381
197,-3496.75,3541.75,0.1367
198,-7534.5,7629.5,0.1353
199,-2348.75,2401.75,0.134
200,-20371.3,20179.3,0.1326
201,-5258.75,5366.75,0.1313
202,-6067.75,6164.75,0.13
203,-2161.25,2217.25,0.1287
204,-4063.9,4034.9,0.1274
205,-15267.6,15184.6,0.1261
206,-3489.0,3547.0,0.1249
207,-14713.2,14689.2,0.1236
208,-1003.25,1021.25,0.1224
209,-3522.35,3509.35,0.1212
210,-7480.0,7548.0,0.12
211,-3485.15,3417.15,0.1188
212,-7359.75,7475.75,0.1176
