frame,timestamp_sec,NORTH,SOUTH,WEST,EAST,total
15,6.47,0,3,3,2,8
30,6.97,1,2,3,2,8
45,7.47,1,2,3,4,10
60,7.97,3,3,3,4,13
75,8.48,5,3,5,9,22
90,8.98,3,2,4,11,20
105,9.48,4,5,7,8,24
120,9.98,3,2,2,5,12
135,10.48,4,1,2,6,13
150,10.98,2,2,4,5,13
165,11.48,1,1,3,10,15
180,11.98,1,1,4,7,13
195,12.48,1,2,2,8,13
210,12.98,1,4,2,3,10
225,13.48,2,1,3,7,13
240,13.98,3,1,4,9,17
255,14.48,2,0,7,8,17
270,14.98,2,2,9,7,20
285,15.48,2,2,6,6,16
300,15.98,3,1,8,5,17
315,16.48,3,1,6,5,15
330,16.98,4,1,7,9,21
345,17.48,4,1,6,10,21
360,17.98,3,1,7,8,19
375,18.49,5,1,7,9,22
390,18.99,1,1,8,12,22
405,19.49,1,2,6,12,21
420,19.99,1,2,6,10,19
435,20.49,1,3,5,6,15
450,20.99,3,4,4,8,19
465,21.49,4,5,5,6,20
480,21.99,4,7,8,6,25
495,22.49,4,5,8,7,24
510,22.99,3,5,8,7,23
525,23.49,3,4,6,5,18
540,23.99,2,2,8,5,17
555,24.49,2,3,6,6,17
570,24.99,1,4,7,8,20
585,25.49,2,3,4,6,15
600,25.99,3,3,5,6,17
615,26.49,3,3,3,7,16
630,26.99,1,1,2,8,12
645,27.49,3,1,3,11,18
660,27.99,3,1,2,7,13
675,28.5,1,1,5,6,13
690,29.0,0,1,4,6,11
705,29.5,1,2,1,10,14
720,30.0,1,2,6,9,18
735,30.5,2,1,6,5,14
750,31.0,6,3,5,7,21
765,31.5,2,1,7,6,16
780,32.0,5,2,5,6,18
795,32.5,3,2,9,8,22
810,33.0,3,3,4,3,13
825,33.5,2,4,7,9,22
840,34.0,1,1,7,8,17
855,34.5,1,1,10,6,18
870,35.0,1,1,6,7,15
885,35.5,2,3,6,9,20
900,36.0,1,3,6,13,23
915,36.5,2,3,7,12,24
930,37.0,3,3,6,6,18
945,37.5,2,1,7,9,19
960,38.0,3,1,5,7,16
975,38.51,2,1,5,7,15
990,39.01,2,1,4,6,13
1005,39.51,4,3,4,7,18
1020,40.01,4,1,7,6,18
1035,40.51,3,2,6,5,16
1050,41.01,1,0,8,6,15
1065,41.51,4,1,3,4,12
1080,42.01,3,2,4,6,15
1095,42.51,4,1,6,6,17
1110,43.01,4,1,5,8,18
1125,43.51,5,2,6,7,20
1140,44.01,4,2,7,6,19
1155,44.51,5,1,6,8,20
1170,45.01,4,2,5,4,15
1185,45.51,1,1,1,2,5
1200,46.01,1,1,1,1,4
1215,46.51,1,1,1,1,4
1230,47.01,1,1,1,1,4
